Rank,Wallet_Address,Balance_BSV,Percentage_of_Supply
1,1A6ud3LrKkPqkwrbGmxu84YTsaJX51SmW,2077996.20096812,10.39%
2,162bzZT2hJfv5Gm3ZmWfWfHJjCtMD6rHhw,329609.20947283,1.65%
3,1JLp73BGTdWAoMsPasJ7k7GuoA9Yq2XFFY,260704.08844763,1.30%
4,1MgZkbYJsvsgJdTG87SehaqoQCwfvYJjhn,247180.8055732,1.24%
5,1D7c9BTBgo4EDtN4zwYHj9p7hxBiYTuymf,238901.822737,1.19%
6,1JRFVm3Z5Fpw4Gzx4Uqr4umkXMkkBpdfdT,227894.96905992,1.14%
7,1A6QakGTRESTadCMGvPfLMiMf7ioVAMbWN,189720.94370956,0.95%
8,1Ny4qtQkChVnSYYrSDdF38W1XKsS3FjAc5,147602.88721391,0.74%
9,153GYbQtzTXUXpVx5QgSKdDh2ozGPPSWYc,135540.724398,0.68%
10,13Zp4xBptPZiGDu8Bur3L4F1QK2ZARcpiE,135000.02162438,0.68%
11,1FTHjBpyCn6wyh4fjYmn1CS8qWa9eG8gZj,125000.00143836,0.63%
12,1GmVsyUaQ49LNNVyBmwyR4czfqk966MHw8,117376.58203146,0.59%
13,1Ne2EYEEnh3NmrZgY8tFTvqm7WJYPirCD,100204.309992,0.50%
14,12ov5BL4NbCn8GsdeV6fdPa5HrHGsdAopK,99108.08715172,0.50%
15,1JZzW9L59tHosrdco4zVrLiGV2pD72VUoF,95066.15738415,0.48%
16,1KZrUyqNCWbe9zLixMtjd7XCwb1KtEriHY,89519.93019592,0.45%
17,90d10446dbae37be301b001e91e3e00d26e1faaa8dade0f3fd8769ee90752073,87941.6304561,0.44%
18,17cUUeYQ9h5znWryj3iP5qXxQWM5H32F7j,84022.20510616,0.42%
19,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,79958.17240923,0.40%
20,1G9NUKpmNfPAu1tnXww5QgTxN5HFZkvd7j,77732.84064989,0.39%
21,16vizpkzfz4cU6kZvjM6R8VLyaDagjqda9,72000.44564579,0.36%
22,1F884r9J2WKbu8wekebqqRcu1Bw1jiRXba,69370.20730648,0.35%
23,1E1Sx6VtSNrdWEew7q9qpA7zp7zeZoLyk8,68359.04416178,0.34%
24,1Tz3P9kov7bDuVbPFsFrAXd3XooEWoAD8,65868.92925848,0.33%
25,19gP93RHV45PjHMhoKaPXbbQKcVrk3dKZS,65372.36491574,0.33%
26,1G47mSr3oANXMafVrR8UC4pzV7FEAzo3r9,63834.70225042,0.32%
27,1CKrEPNb9JQzhpynMvpzGRA89DFhEAGR2t,56229.03080987,0.28%
28,1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC,53880.05999421,0.27%
29,1FwkaAidQ4tnzFmBfEqbXJU4EzjRNshFT5,53431.00565265,0.27%
30,1KZFSWUz3qSwvYjFiitZre3xZoZ83q6YhT,52951.35887279,0.26%
31,1P73ThFNn1N3DJ8B6qJXiRH1xCdTtkGhiJ,49253.34140895,0.25%
32,1EkkGXR7dTbZbrKFKoe6YEP4gj4GzMeKvw,48378.81936412,0.24%
33,1EfBMK9q6rGFZazeF7jyNdTgqGYgcDgRE5,48260.37223908,0.24%
34,1HZiMCBgdn3LYXiMXF5Ty1ggfqzRwHXBh4,44288.43790462,0.22%
35,17U86sbWWdPjJcx1ZV2Xp3T1GEoDx7N2p1,42403.3551703,0.21%
36,1GWvf84TUZhJqKvRmv9W3TE4RTyAy4vayo,40221.9999073,0.20%
37,193i1r6YXUb9FdhYf5uUXVA6jAu4kU4ARK,37351.9276,0.19%
38,187xuwUXwVDF8YjZooVVP37xipyA1PmXTu,36350.26899021,0.18%
39,1LjoE5MNviaMwMHgrfV85fHXLjq2RvR3TU,36302.92,0.18%
40,16r28es1JDVzuLUeXvXZnFfEBovjiecc6g,36000.39972758,0.18%
41,13yBADPbx89Lhh8Efh9oixamge5SRfrv1a,35054.440803,0.18%
42,1Az1BAeS8ajeNo5DSf7DKThXqAtfo3gr2u,33669.40692458,0.17%
43,1FQNi6NiaKhymJZdKikjRUYdwcZtcSLxpG,32894.80709791,0.16%
44,157msRqoHYaiUWdWJQv3kkFXJnFDHAULSd,32099.174,0.16%
45,16a4nv7DW7vRYZTtKx8tTAWh2ty8jbpXB3,31461.52414659,0.16%
46,16RAZ3StAm9FMsynTNu9FgPWncQkWLRZuZ,31312.71310551,0.16%
47,12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr,31000.05998245,0.16%
48,192vYuwH59M2s48JzvCgoDgXAxyApSXQ24,30000,0.15%
49,1M6kiiwpJ4KaT9J4uY7ZYEu7k3aE9kmMqP,29999.99999934,0.15%
50,12n6d3JTsYZd2SzXEy2QdazWoejfewJgmj,29999.50004056,0.15%
51,18YnEH5Dg5u9jiS25HSDdgjw5LRm7xUj8Q,29670,0.15%
52,18gQDkXfWKsLYwzYUY4MXuerRbg4xSmjZ9,29449.99503829,0.15%
53,1JCtg7CEqifVoTjEiCDSAJzqk2AAWsZtY6,29312.07851073,0.15%
54,1JBq1rRQSnMMFR384XLULQtb6boPzsL7fg,28501.31182017,0.14%
55,12tkqA9xSoowkzoERHMWNKsTey55YEBqkv,28151.05351896,0.14%
56,1AewEkGS6jc1P8EnBj1Z6v6DiRdjBW5AyP,27735.233987,0.14%
57,1Gq3orznXD3JPnV6Pi38rAyowNv7895rhe,26410,0.13%
58,1MggaTm6wHowuQhUbcJMsHKL2jezDPEAiQ,26251.93254458,0.13%
59,16Jyis1XccrJevd4pQynfMRN5E5D5W73ec,24667.76229829,0.12%
60,1GDPLRNtv52qfSBXzm9GpV9hwAswMx3y13,24037.70830175,0.12%
61,14APA9vozSZ6xRpNatyu9942dnQKQ2mpyR,23967.64385596,0.12%
62,184mmRmzfQyGXfPNBHifPai8gg2SQepeVp,23958.68691102,0.12%
63,1EMDHSBvzahAGWd6bomSiDDcAgFXWXJz7h,20730.67986057,0.10%
64,1BA47GLhQZrTtPt21CJ73cY9YSSsCXX7gF,20115.2727866,0.10%
65,1KaHWsFYXQX4x2KNQJVxu3rKnsdH2HErki,20111.00000538,0.10%
66,17rm2dvb439dZqyMe2d4D6AQJSgg6yeNRn,20008.01584717,0.10%
67,16dJJzDtBaaGAqZ9o7upTuwDzELH5PBCMj,20003.7192303,0.10%
68,177K2cm4LSf3dTBqvQvK1svVTLs7VbtRkR,20000.09012043,0.10%
69,1GyQUMfLqoz3fPvE3nRE3o6cNQtirQz7d2,20000.00001094,0.10%
70,1N1NRfypdTFoTr1NoHsuvFUdz4tfiPsuUZ,19644.59662349,0.10%
71,1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGW,19414.42680439,0.10%
72,1AukX7W91NQtvBQNKAWTHpjxkC5kva1U68,19360.01526841,0.10%
73,1KGpRvXsNUSacJjSocRU8U9XeYQ4Hpc7GV,19229,0.10%
74,1MEgvCRGTE6DCdfeDPYpDzPXx9r5Ts4KL9,16186,0.08%
75,1MYWaeGdVCWaYavoa4A2qvyLCMEJXLrPTR,15678.26815118,0.08%
76,17f6mqsKK3j1RvLvbEZ9BMPF8B3uZKc6DH,15018.88272932,0.08%
77,15F2RV5sPURFzjuJgAXN8JLZUZfdZoLF4d,15001.909992,0.08%
78,1BZUdyeTBQCfPzfGGHuJzYHbJENuJKkLHB,15000,0.08%
79,13PEtdjGFVscva6MFrrcQPfBiZbRLw8hE4,14999.99999813,0.08%
80,1ShMZrP92s1bFMfrpTMGFwWYyeX9cG1aN,14967.951,0.07%
81,1KFL2r9QP24m2QCYFXHp7EkfqQt77Teuws,14864.30114209,0.07%
